,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
39,Tessalit,100,ML,1581150847,14,20.2,1.01,71.74,23.38
40,Thompson,90,CA,1581150848,84,55.74,-97.86,-0.4,3.36
41,Jamestown,90,US,1581150849,92,42.1,-79.24,26.6,5.82
42,Atar,67,MR,1581150851,14,20.52,-13.05,70.97,9.53
43,East London,75,ZA,1581150852,88,-33.02,27.91,75.2,6.93
44,Bathsheba,20,BB,1581150853,73,13.22,-59.52,77.0,17.22
45,Qaanaaq,0,GL,1581150854,64,77.48,-69.36,-29.18,1.61
46,Albany,40,US,1581150602,62,42.6,-73.97,23.0,14.99
47,Faanui,100,PF,1581150857,82,-16.48,-151.75,82.09,21.47
48,Manacapuru,77,BR,1581150858,94,-3.3,-60.62,75.2,1.12
49,Tortoli,75,IT,1581150860,39,39.93,9.66,55.0,10.29
50,Quixere,6,BR,1581150861,92,-5.07,-37.99,73.92,4.43
51,Port Alfred,19,ZA,1581150862,99,-33.59,26.89,71.01,1.01
52,Lagoa,100,PT,1581150864,82,39.05,-27.98,60.85,27.07
53,Cherskiy,68,RU,1581150865,87,68.75,161.3,-35.43,0.54
54,Moyobamba,76,PE,1581150866,98,-6.05,-76.97,64.17,0.74
55,Vaini,75,TO,1581150867,88,-21.2,-175.2,80.6,9.17
56,Tiksi,0,RU,1581150869,68,71.69,128.87,-20.7,3.74
57,Hobart,75,AU,1581150856,63,-42.88,147.33,61.0,8.05
58,Saldanha,0,ZA,1581150872,82,-33.01,17.94,62.6,6.93
59,Hermanus,0,ZA,1581150873,68,-34.42,19.23,84.0,8.99
60,Butaritari,100,KI,1581150874,76,3.07,172.79,84.43,18.84
61,Busselton,0,AU,1581150876,37,-33.65,115.33,78.01,21.99
62,Gijang,0,KR,1581150586,26,35.24,129.21,46.4,11.41
63,Luqiao,100,CN,1581150878,80,28.58,121.38,53.01,13.27
64,Kisangani,75,CD,1581150879,78,0.52,25.2,80.6,4.7
65,Nikolskoye,90,RU,1581150881,86,59.7,30.79,28.99,4.47
66,Ambilobe,8,MG,1581150882,65,-13.2,49.05,85.91,7.02
67,Renfrew,75,GB,1581150587,80,55.87,-4.39,42.01,20.8
68,Blyth,20,GB,1581150819,86,55.13,-1.51,42.01,12.75
69,Mayskiy,54,RU,1581150886,84,47.69,40.1,8.6,8.95
70,Gusau,0,NG,1581150887,13,12.16,6.66,77.36,21.16
71,Winneba,61,GH,1581150889,88,5.35,-0.62,78.8,6.93
72,Sharanga,0,RU,1581150890,91,57.18,46.54,2.1,5.46
73,San Policarpo,34,PH,1581150891,83,12.18,125.51,80.38,6.93
74,Hithadhoo,20,MV,1581150892,80,-0.6,73.08,82.24,13.22
75,Arrondissement de Nogent-le-Rotrou,96,FR,1581150894,87,48.33,1.0,48.2,8.05
76,Clyde River,1,CA,1581150895,66,70.47,-68.59,-29.2,3.36
77,Monchegorsk,100,RU,1581150896,94,67.94,32.87,27.1,8.12
78,Manokwari,89,ID,1581150898,88,-0.87,134.08,74.71,7.87
79,Muriti,20,TZ,1581150899,78,-1.98,32.92,77.0,9.17
80,Phangnga,20,TH,1581150900,49,8.45,98.53,95.0,4.7
81,Brae,100,GB,1581150902,81,60.4,-1.35,46.4,29.97
82,Aklavik,75,CA,1581150903,73,68.22,-135.01,-32.8,2.24
83,Mahon,20,ES,1581150904,93,39.89,4.27,50.0,5.82
84,Tateyama,75,JP,1581150906,37,34.98,139.87,52.0,16.11
85,Dakar,80,SN,1581150666,68,14.69,-17.44,75.2,11.41
86,Eureka,75,US,1581150908,87,40.8,-124.16,48.99,2.06
87,Sol'-Iletsk,0,RU,1581150785,90,51.16,54.99,16.39,6.02
88,Leningradskiy,100,RU,1581150911,94,69.38,178.42,-18.76,21.07
89,Upernavik,74,GL,1581150912,96,72.79,-56.15,-25.69,10.96
90,Norman Wells,75,CA,1581150913,76,65.28,-126.83,-7.6,4.7
91,Inuvik,75,CA,1581150899,73,68.35,-133.72,-32.8,2.24
92,Treinta y Tres,42,UY,1581150721,98,-33.23,-54.38,68.76,3.58
93,Bowen,1,AU,1581150918,66,-20.02,148.23,86.0,8.05
94,Ribeira Grande,75,PT,1581150919,82,38.52,-28.7,60.8,17.22
95,Sergeevka,100,KZ,1581150920,100,53.88,67.42,34.9,11.12
96,Nanortalik,33,GL,1581150922,70,60.14,-45.24,24.26,43.93
97,Xai-Xai,12,MZ,1581150923,38,-25.05,33.64,97.43,4.21
98,Lebu,0,CL,1581150924,70,-37.62,-73.65,48.65,3.56
99,Bredasdorp,28,ZA,1581150926,88,-34.53,20.04,77.0,11.41
100,Mudgee,90,AU,1581150927,82,-32.59,149.59,68.0,8.05
101,Sibolga,100,ID,1581150929,92,1.74,98.78,76.68,1.34
102,Takoradze,67,GH,1581150930,68,4.88,-1.76,84.43,4.83
103,Kangaatsiaq,100,GL,1581150931,97,68.31,-53.46,10.04,30.11
104,Humaita,100,BR,1581150933,97,-7.51,-63.02,72.5,1.92
105,Kruisfontein,46,ZA,1581150934,68,-34.0,24.73,75.02,6.44
106,Morada Nova,83,BR,1581150935,95,-5.11,-38.37,73.26,2.93
107,Beisfjord,75,NO,1581150937,93,68.38,17.6,39.2,20.8
108,Severo-Kuril'sk,100,RU,1581150938,95,50.68,156.12,21.2,11.54
109,Nantucket,1,US,1581150939,50,41.28,-70.1,28.99,17.22
110,Alice Springs,0,AU,1581150940,13,-23.7,133.88,98.6,9.17
111,Tutoia,81,BR,1581150942,98,-2.76,-42.27,72.64,3.65
112,Praia da Vitoria,40,PT,1581150943,71,38.73,-27.07,57.2,23.58
113,Udachny,90,RU,1581150945,92,66.42,112.4,8.6,4.47
114,Razdolinsk,100,RU,1581150946,95,58.42,94.67,20.1,7.47
115,Hambantota,40,LK,1581150947,59,6.12,81.12,89.6,3.36
116,Neryungri,100,RU,1581150949,92,56.67,124.65,0.21,2.75
117,Porto-Novo,20,BJ,1581150775,61,6.5,2.6,78.8,4.7
118,Kiryat Gat,40,IL,1581150781,62,31.61,34.76,59.0,18.34
119,Cedar City,1,US,1581150938,69,37.68,-113.06,33.8,6.93
120,Cape Town,0,ZA,1581150954,47,-33.93,18.42,84.0,4.7
121,Ostrovnoy,80,RU,1581150955,95,68.05,39.51,18.36,9.26
122,Tanda,0,IN,1581150956,33,26.55,82.65,69.46,7.85
123,Kilindoni,67,TZ,1581150958,73,-7.91,39.67,82.83,12.59
124,Faya,0,SA,1581150959,68,18.39,42.45,69.8,11.41
125,Lorengau,100,PG,1581150960,78,-2.02,147.27,82.54,13.4
126,Castro,100,BR,1581150962,99,-24.79,-50.01,64.31,3.67
127,Andros Town,100,BS,1581150963,75,24.7,-77.77,71.01,12.75
128,Zadar,0,HR,1581150964,59,44.12,15.24,48.0,5.82
129,Cidreira,2,BR,1581150966,85,-30.18,-50.21,76.68,25.19
130,Iqaluit,5,CA,1581150967,67,63.75,-68.51,-27.0,3.36
131,Byron Bay,100,AU,1581150803,94,-28.65,153.62,75.2,9.17
132,Beringovskiy,17,RU,1581150969,83,63.05,179.32,-22.41,19.17
133,Sorland,90,NO,1581150971,93,67.67,12.69,41.0,18.34
134,Airai,100,TL,1581150972,90,-8.93,125.41,73.51,2.24
135,Hong Kong,40,HK,1581150974,68,22.29,114.16,66.99,8.05
136,Namatanai,100,PG,1581150975,79,-3.67,152.43,82.22,14.99
137,Bengkulu,100,ID,1581150976,96,-3.8,102.27,71.89,6.93
138,Howard Springs,75,AU,1581150978,59,-12.5,131.05,90.0,13.87
139,Suntar,100,RU,1581150979,93,62.14,117.63,16.23,6.04
140,Shache,0,CN,1581150980,26,38.42,77.24,43.45,3.94
141,Zhigalovo,100,RU,1581150982,90,54.81,105.16,21.9,4.03
142,Amapa,86,BR,1581150983,98,1.0,-52.0,68.5,2.01
143,Metro,57,ID,1581150985,65,-5.11,105.31,86.85,12.97
144,Egvekinot,100,RU,1581150986,94,66.32,-179.17,-17.27,12.84
145,Srednekolymsk,0,RU,1581150987,94,67.45,153.68,-38.11,4.0
146,High Level,90,CA,1581150988,100,58.52,-117.14,14.0,5.82
147,Vestmannaeyjar,100,IS,1581150990,60,63.44,-20.27,40.33,27.16
148,Sao Joao da Barra,3,BR,1581150991,87,-21.64,-41.05,75.7,7.23
149,Rura,0,IN,1581150992,35,26.48,79.9,68.68,8.25
150,Soe,98,ID,1581150994,86,-9.86,124.28,79.52,2.8
151,Khowst,0,AF,1581150996,13,33.38,69.88,56.97,4.38
152,Eidfjord,99,NO,1581150997,80,60.47,7.07,21.99,8.72
153,Itarema,90,BR,1581150998,97,-2.92,-39.92,73.44,3.44
154,Morondava,0,MG,1581150999,45,-20.28,44.28,94.42,3.65
155,Palmerston,75,AU,1581151001,59,-12.49,130.98,90.0,13.87
156,Tuktoyaktuk,27,CA,1581151002,98,69.45,-133.04,-30.64,6.87
157,Arraial do Cabo,0,BR,1581151003,86,-22.97,-42.03,75.9,15.05
158,Lompoc,90,US,1581151005,100,34.64,-120.46,48.0,3.36
159,Pevek,100,RU,1581151006,99,69.7,170.31,-26.09,2.44
160,Honiara,90,SB,1581151007,88,-9.43,159.95,78.8,9.17
161,Saint-Philippe,28,RE,1581151008,58,-21.36,55.77,84.2,20.8
162,Porto Empedocle,5,IT,1581151010,76,37.29,13.53,51.01,1.12
163,Verkhniy Lomov,100,RU,1581151011,94,53.47,43.55,5.38,9.84
164,Mayo,1,US,1581151012,69,38.89,-76.51,35.01,10.29
165,Barrow,20,US,1581151014,96,71.29,-156.79,-29.2,6.93
166,Solnechnyy,85,RU,1581151015,97,50.72,136.63,-11.74,1.95
167,Tasiilaq,100,GL,1581151016,59,65.61,-37.64,37.4,40.26
168,Fort Nelson,5,CA,1581151018,84,58.81,-122.7,5.0,1.99
169,Sao Filipe,100,CV,1581151019,49,14.9,-24.5,73.76,22.15
170,Labuhan,89,ID,1581151020,76,-6.88,112.21,83.21,3.02
171,Bom Jesus,100,BR,1581151022,91,-9.07,-44.36,70.41,2.91
172,Tafalla,40,ES,1581151023,100,42.53,-1.67,39.99,2.24
173,Zlobin,0,HR,1581151024,42,45.29,14.65,48.2,3.36
174,Volot,84,RU,1581151026,88,57.93,30.7,27.72,4.18
175,Yellowknife,90,CA,1581150858,83,62.46,-114.35,-4.0,3.36
176,Kristiansund,100,NO,1581151028,60,63.11,7.73,42.8,11.41
177,Waipawa,100,NZ,1581151030,81,-41.41,175.52,55.0,23.04
178,Yichang,78,CN,1581150962,49,30.71,111.28,55.24,5.01
179,Bethel,1,US,1581150856,58,41.37,-73.41,32.0,9.17
180,Mar del Plata,90,AR,1581150789,82,-38.0,-57.56,64.99,6.93
181,Kamenka,77,RU,1581151035,83,51.32,42.77,16.0,11.01
182,Hofn,100,IS,1581151037,66,64.25,-15.21,41.11,16.42
183,Thayetmyo,12,MM,1581151038,18,19.32,95.18,95.88,2.86
184,Bambous Virieux,40,MU,1581151039,66,-20.34,57.76,84.99,9.17
185,Chiredzi,100,ZW,1581151041,49,-21.05,31.67,92.75,0.85
186,Aripuana,100,BR,1581151042,99,-9.17,-60.63,69.82,0.83
187,Baisha,100,CN,1581151043,95,26.52,110.93,38.77,3.44
188,Deputatsky,90,RU,1581151045,100,69.3,139.9,-44.01,2.26
189,Oktyabrskiy,100,RU,1581151046,94,54.48,53.47,5.65,8.03
190,Mizan Teferi,93,ET,1581151047,30,6.98,35.58,89.02,3.11
191,Fairbanks,90,US,1581150932,92,64.84,-147.72,7.0,3.74
192,New Norfolk,75,AU,1581151050,63,-42.78,147.06,61.0,8.05
193,Worcester,20,US,1581151052,67,42.33,-71.83,26.01,20.8
194,Dikson,100,RU,1581151053,96,73.51,80.55,-4.09,15.95
195,Dongargaon,63,IN,1581151055,71,20.97,80.85,67.86,10.94
196,Mount Gambier,0,AU,1581151056,54,-37.83,140.77,80.6,16.11
197,Camargo,0,MX,1581151058,29,27.67,-105.17,53.06,4.34
198,Chalus,20,IR,1581151059,9,36.66,51.42,86.0,31.09
199,Walvis Bay,90,NA,1581151060,93,-22.96,14.51,66.0,1.12
200,Avera,1,US,1581151061,68,33.19,-82.53,34.0,3.62
201,Kahului,1,US,1581151063,82,20.89,-156.47,62.01,5.82
202,Constitucion,0,CL,1581151064,54,-35.33,-72.42,57.76,4.97
203,Dunedin,69,NZ,1581151066,67,-45.87,170.5,48.99,3.0
204,Shelburne,90,CA,1581151067,71,44.08,-80.2,12.99,2.24
205,Saurimo,75,AO,1581151068,78,-9.66,20.39,71.6,5.82
206,Portland,40,US,1581150969,75,45.52,-122.68,45.0,9.17
207,Huallanca,90,PE,1581151071,92,-9.9,-76.94,37.81,2.24
208,Sterling,1,US,1581151072,63,39.01,-77.43,34.0,6.93
209,La Ronge,90,CA,1581151074,84,55.1,-105.28,1.4,0.87
210,Campoverde,40,PE,1581150918,88,-8.48,-74.81,77.0,3.36
211,Provideniya,0,RU,1581151076,89,64.38,-173.3,-22.5,11.92
212,Soure,100,BR,1581151078,93,-0.72,-48.52,74.98,5.97
213,Orocue,98,CO,1581151080,57,4.79,-71.34,78.24,6.46
214,Jambi,89,ID,1581151081,55,-1.6,103.62,87.37,2.53
215,Chui,97,UY,1581151083,96,-33.7,-53.46,71.85,2.89
216,Kamyzyak,75,RU,1581151084,74,46.11,48.07,33.8,6.71
217,Broome,90,US,1581151086,85,42.25,-75.83,21.0,10.29
218,Gamba,100,GA,1581151087,86,-2.65,10.0,79.16,4.5
219,Valparaiso,0,CL,1581150788,87,-33.04,-71.63,53.6,4.7
220,Vila Velha,75,BR,1581151090,94,-20.33,-40.29,75.2,2.21
221,Dzerzhinsk,90,RU,1581151091,84,56.24,43.46,10.99,6.71
222,Upata,5,VE,1581151092,97,8.01,-62.4,65.71,2.84
223,Pontianak,98,ID,1581150869,60,-0.03,109.33,87.31,6.26
224,Xiaoshi,36,CN,1581151095,36,41.3,124.12,28.4,4.47
225,Mossamedes,100,AO,1581151097,83,-15.2,12.15,75.79,5.97
226,North Bend,20,US,1581151098,76,43.41,-124.22,48.99,6.6
227,Ust'-Ishim,100,RU,1581151100,93,57.69,71.17,19.44,7.0
228,Izoplit,0,RU,1581151101,86,56.63,36.22,18.27,4.29
229,Codrington,0,AU,1581151103,83,-38.27,141.97,65.97,33.71
230,Olinda,40,BR,1581151104,74,-8.01,-34.86,82.4,4.7
231,Adrar,100,MR,1581151106,12,20.5,-10.07,67.57,12.28
232,Winona,90,US,1581151107,85,43.97,-91.77,23.0,8.05
233,Katsuura,75,JP,1581151108,37,35.13,140.3,52.0,16.11
234,Yuncheng,77,CN,1581151109,39,35.02,110.99,50.77,6.26
235,Hasaki,20,JP,1581151111,49,35.73,140.83,48.2,6.93
236,Marystown,100,CA,1581151112,83,47.17,-55.15,37.29,41.81
237,Colares,75,PT,1581151114,87,38.8,-9.45,55.0,2.24
238,Kaitangata,99,NZ,1581151115,67,-46.28,169.85,48.99,4.0
239,Banda Aceh,99,ID,1581151116,60,5.56,95.32,83.8,6.67
240,Mysliborz,0,PL,1581151118,93,52.92,14.87,41.0,13.6
241,Umm Lajj,0,SA,1581151119,38,25.02,37.27,67.68,13.58
242,Melville,1,US,1581151120,52,40.79,-73.42,32.0,10.29
243,Vanavara,99,RU,1581151122,94,60.34,102.28,11.32,5.5
244,Ugoofaaru,100,MV,1581151123,74,5.67,73.0,81.86,3.91
245,Saint George,1,US,1581151079,48,37.1,-113.58,42.8,6.93
246,Naze,75,JP,1581151125,58,28.37,129.48,59.0,16.11
247,Kango,100,GA,1581151127,87,0.19,10.1,79.2,3.18
248,Havre-Saint-Pierre,90,CA,1581151128,60,50.23,-63.6,8.6,17.22
249,Isangel,100,VU,1581151129,84,-19.55,169.27,80.11,18.88
250,Marsabit,46,KE,1581151131,49,2.33,37.99,81.03,20.22
251,Pacifica,90,US,1581151132,93,37.61,-122.49,51.01,3.36
252,Padang,100,ID,1581151134,95,-0.95,100.35,71.02,2.3
253,Aviles,75,ES,1581150844,93,43.55,-5.92,51.01,5.82
254,Kamaishi,75,JP,1581151136,63,39.27,141.88,28.4,4.7
255,Pokhara,15,NP,1581151138,32,28.23,83.98,65.43,9.48
256,Meulaboh,100,ID,1581151139,80,4.14,96.13,82.18,11.1
257,Luderitz,0,NA,1581151140,68,-26.65,15.16,69.8,8.05
258,Jamkhandi,87,IN,1581151141,19,16.52,75.3,85.57,6.35
259,Sao Paulo de Olivenca,90,BR,1581151143,93,-3.38,-68.87,72.61,1.97
260,Vao,38,NC,1581151144,83,-22.67,167.48,80.28,17.0
261,Lavrentiya,98,RU,1581151146,91,65.58,-171.0,-21.33,4.29
262,Kavieng,100,PG,1581151147,80,-2.57,150.8,80.13,13.76
263,Verkhnyaya Inta,100,RU,1581151148,96,65.98,60.31,-2.18,10.13
264,Port Lincoln,0,AU,1581151150,63,-34.73,135.87,74.89,11.1
265,Calama,56,CL,1581151151,45,-22.47,-68.93,44.6,19.46
266,Juegang,72,CN,1581151152,69,32.32,121.19,42.42,9.78
267,Impfondo,66,CG,1581151154,24,1.64,18.07,97.52,3.53
268,Saint Anthony,40,US,1581151155,78,45.02,-93.22,14.0,3.36
269,Ust'-Kulom,76,RU,1581151157,94,61.69,53.69,0.1,4.81
270,Vardo,100,NO,1581151158,93,70.37,31.11,38.3,17.65
271,Buala,100,SB,1581151159,81,-8.14,159.59,81.18,9.84
272,Vedasandur,50,IN,1581151161,43,10.53,77.95,87.19,5.91
273,Kalmunai,95,LK,1581151162,60,7.42,81.82,80.24,8.01
274,Imbituba,75,BR,1581151163,100,-28.24,-48.67,75.2,3.36
275,Buraidah,0,SA,1581151165,37,26.33,43.98,66.2,13.87
276,Ruidoso,1,US,1581151166,51,33.33,-105.67,45.0,12.75
277,Camana,94,PE,1581151167,92,-16.62,-72.71,63.93,4.07
278,Puerto Ayacucho,86,VE,1581151169,74,5.66,-67.62,71.47,2.04
279,Sechura,100,PE,1581151170,88,-5.56,-80.82,73.18,5.48
280,Turan,75,VN,1581151171,69,16.07,108.22,80.6,10.29
281,Biak,80,ID,1581151172,67,-0.91,122.88,86.61,6.6
282,Kungurtug,96,RU,1581151174,84,50.6,97.52,24.01,0.98
283,Port Macquarie,90,AU,1581151175,94,-31.43,152.92,73.4,10.29
284,Ilulissat,100,GL,1581151176,65,69.22,-51.1,8.6,5.82
285,Mahebourg,40,MU,1581151178,66,-20.41,57.7,84.99,9.17
286,Haines Junction,97,CA,1581151179,97,60.75,-137.51,9.36,5.84
287,Honningsvag,100,NO,1581151180,89,70.98,25.97,41.77,25.61
288,Kirkwood,90,US,1581151182,74,38.58,-90.41,32.0,13.87
289,Klaksvik,100,FO,1581151183,75,62.23,-6.59,41.0,5.82
290,Chieti,0,IT,1581151185,64,42.36,14.14,52.0,6.93
291,Pangody,100,RU,1581151186,95,65.85,74.49,-5.19,7.78
292,Saint-Augustin,100,CA,1581151187,94,51.23,-58.65,8.76,27.56
293,Okha,0,RU,1581151189,92,53.57,142.95,-7.46,16.82
294,Pala,3,TD,1581151190,9,9.36,14.9,84.31,11.23
295,Kavaratti,53,IN,1581151191,72,10.57,72.64,80.37,12.77
296,Camiri,44,BO,1581151193,97,-20.05,-63.52,65.14,2.66
297,Rosarito,90,MX,1581151057,87,32.33,-117.03,57.99,1.86
298,Nuoro,75,IT,1581151195,39,40.32,9.33,55.0,10.29
299,Nuuk,100,GL,1581151197,56,64.18,-51.72,15.8,16.11
300,Iquitos,90,PE,1581151198,94,-3.75,-73.25,75.2,0.09
301,Oxapampa,78,PE,1581151199,98,-10.58,-75.4,54.45,0.58
302,Ushtobe,100,KZ,1581151200,93,45.25,77.98,38.86,4.68
303,Morrope,90,PE,1581151202,88,-6.54,-80.01,71.6,12.75
304,Pimentel,90,PE,1581151203,88,-6.84,-79.93,71.6,12.75
305,Columbus,90,US,1581150942,92,39.96,-83.0,30.0,6.93
306,Pisco,100,PE,1581151206,78,-13.7,-76.22,71.6,5.82
307,Iberia,90,US,1581151207,87,29.95,-91.75,55.4,4.7
308,Jalu,0,LY,1581151208,49,29.03,21.55,57.16,8.97
309,Port Blair,0,IN,1581151210,73,11.67,92.75,79.81,10.16
310,Covington,90,US,1581151002,86,39.08,-84.51,30.2,6.93
311,Erdenet,67,MN,1581151212,83,49.03,104.08,17.44,4.16
312,Sitka,75,US,1581151213,69,57.05,-135.33,33.8,4.7
313,Hamilton,90,US,1581150956,86,39.18,-84.53,30.2,6.93
314,Sita Road,0,PK,1581151216,11,27.03,67.85,78.98,0.29
315,Turukhansk,100,RU,1581151217,97,65.82,87.98,-4.16,6.53
316,Santa Pola,20,ES,1581151219,87,38.19,-0.57,55.0,5.82
317,Samsun,75,TR,1581151220,86,41.25,36.33,33.8,31.09
318,Rio Grande,80,BR,1581151221,89,-32.03,-52.1,77.0,11.07
319,Sabang,98,ID,1581151223,76,5.89,95.32,82.09,13.02
320,Feijo,64,BR,1581151224,87,-8.16,-70.35,70.09,1.66
321,Sri Aman,75,MY,1581151182,55,1.24,111.46,91.4,2.24
322,Ayan,0,RU,1581151227,72,56.45,138.17,-16.67,3.33
323,Lahaina,1,US,1581151036,82,20.88,-156.68,64.4,5.82
324,Chapais,1,CA,1581151229,75,49.78,-74.85,-18.4,5.82
325,Sarh,32,TD,1581151230,20,9.14,18.39,84.2,4.7
326,Alofi,90,NU,1581151232,100,-19.06,-169.92,77.0,10.29
327,Kuopio,90,FI,1581151233,100,62.88,27.67,24.8,5.82
328,Kansanshi,98,ZM,1581151235,88,-12.1,26.43,72.27,5.12
329,Mitsamiouli,14,KM,1581151237,68,-11.38,43.28,84.79,10.29
330,Preobrazheniye,0,RU,1581151238,51,42.9,133.91,9.68,6.6
331,Hualmay,77,PE,1581151239,83,-11.1,-77.61,69.44,2.1
332,Alta Floresta,100,BR,1581151240,99,-9.88,-56.09,69.12,4.16
333,Esperance,23,AU,1581151242,11,-33.87,121.9,104.0,17.22
334,Noyabrsk,100,RU,1581151243,93,63.2,75.45,-4.97,4.47
335,Nong Han,0,TH,1581151244,33,17.36,103.11,89.6,5.82
336,Mabaruma,71,GY,1581151246,98,8.2,-59.78,69.49,1.05
337,Nouadhibou,83,MR,1581151247,77,20.93,-17.03,62.6,17.22
338,Tarauaca,80,BR,1581151248,93,-8.16,-70.77,69.31,2.06
339,Avanuorri,75,NO,1581151250,93,71.0,24.66,39.2,35.57
340,Tahe,99,CN,1581151251,96,52.33,124.73,2.7,1.23
341,Hattiesburg,20,US,1581151252,65,31.33,-89.29,46.99,6.93
342,Gondanglegi,64,ID,1581151254,80,-7.75,112.01,80.46,4.65
343,Celestun,37,MX,1581151255,78,20.87,-90.4,70.75,18.28
344,Touros,20,BR,1581151257,94,-5.2,-35.46,73.4,4.7
345,Birao,0,CF,1581151258,10,10.28,22.79,90.41,20.45
346,Likasi,84,CD,1581151259,87,-10.98,26.73,72.07,4.34
347,Santa Cruz de la Sierra,75,BO,1581151077,94,-17.8,-63.17,77.0,9.17
348,Santa Cruz del Norte,20,CU,1581151262,100,23.15,-81.92,71.6,4.7
349,Talnakh,40,RU,1581151263,83,69.49,88.4,-5.8,20.13
350,Cap Malheureux,40,MU,1581151265,66,-19.98,57.61,84.99,9.17
351,Mahibadhoo,0,MV,1581151266,70,3.78,72.97,82.06,6.2
352,Kumluca,0,TR,1581151267,31,36.37,30.29,45.12,6.85
353,Manay,86,PH,1581151269,80,7.21,126.54,80.4,19.71
354,Sulangan,0,PH,1581151270,75,11.14,123.72,81.55,3.67
355,Ocean City,1,US,1581151271,55,39.28,-74.57,37.0,8.05
356,Kopervik,90,NO,1581151272,75,59.28,5.31,45.0,27.51
357,Kodiak,90,US,1581151014,80,57.79,-152.41,35.6,18.34
358,Magistralnyy,93,RU,1581151275,94,56.17,107.45,18.59,2.01
359,Adamovka,92,RU,1581151276,95,51.52,59.94,24.58,12.08
360,Ancud,0,CL,1581151278,93,-41.87,-73.82,44.6,4.7
361,Quatre Cocos,40,MU,1581151279,66,-20.21,57.76,84.99,9.17
362,Souillac,40,MU,1581151280,66,-20.52,57.52,84.99,9.17
363,Tandil,10,AR,1581151282,84,-37.32,-59.13,61.0,5.99
364,Beloha,0,MG,1581151283,16,-25.17,45.05,100.81,2.53
365,Sur,5,OM,1581151284,35,22.57,59.53,74.86,9.62
366,Zarubino,0,RU,1581151286,48,42.63,131.09,21.11,12.3
367,Hobyo,18,SO,1581151287,42,5.35,48.53,85.91,20.67
368,Ongandjera,0,NA,1581151288,36,-17.88,15.07,81.9,7.83
369,Mayumba,100,GA,1581151290,83,-3.43,10.66,81.09,12.21
370,Mehamn,100,NO,1581151291,96,71.04,27.85,37.89,25.32
371,Ha Giang,100,VN,1581151293,98,22.83,104.98,58.01,4.9
372,Gonen,75,TR,1581151294,84,40.1,27.65,32.0,17.22
